"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)","Media notes","Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,mediaDownloadUrl,report_as
284095791,Photo,"Alectoris chukar",Chukar,,"Karma Sonam",11/29/2020,2020,11,29,920,India,IN-JK-LE,"Jammu and Kashmir","Leh (ladakh)",Rumtse,33.6299,77.7591,,,,Unspecified,,,,,,,,S76837872,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MzgyNzMx",3456,4608,"https://macaulaylibrary.org/asset/284095791","https://ebird.org/view/checklist/S76837872","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
284095781,Photo,"Alectoris chukar",Chukar,,"Karma Sonam",11/29/2020,2020,11,29,920,India,IN-JK-LE,"Jammu and Kashmir","Leh (ladakh)",Rumtse,33.6299,77.7591,,,,Unspecified,,,,,,,,S76837872,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MzgyNzMx",3456,4608,"https://macaulaylibrary.org/asset/284095781","https://ebird.org/view/checklist/S76837872","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
284095771,Photo,"Alectoris chukar",Chukar,,"Karma Sonam",11/29/2020,2020,11,29,920,India,IN-JK-LE,"Jammu and Kashmir","Leh (ladakh)",Rumtse,33.6299,77.7591,,,,Unspecified,,,,,,,,S76837872,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MzgyNzMx",3456,4608,"https://macaulaylibrary.org/asset/284095771","https://ebird.org/view/checklist/S76837872","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
284095761,Photo,"Alectoris chukar",Chukar,,"benny cottele",3/22/2016,2016,3,22,1630,Israel,IL-Z,HaZafon,,"Kibbutz Kfar Ruppin קיבוץ כפר רופין",32.4585,35.5569,,,,Unspecified,,,,,,,,S76893930,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,,1317,2633,"https://macaulaylibrary.org/asset/284095761","https://ebird.org/view/checklist/S76893930","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
284095751,Photo,"Alectoris chukar",Chukar,,"Karma Sonam",11/29/2020,2020,11,29,920,India,IN-JK-LE,"Jammu and Kashmir","Leh (ladakh)",Rumtse,33.6299,77.7591,,,,Unspecified,,,,,,,,S76837872,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MzgyNzMx",3456,4608,"https://macaulaylibrary.org/asset/284095751","https://ebird.org/view/checklist/S76837872","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
283816391,Photo,"Alectoris chukar",Chukar,,"Kudaibergen Amirekul",11/12/2020,2020,11,12,1030,Kazakhstan,KZ-YUZ,"Ongtüstik Qazaqstan oblysy",,"линейная 19, Шымкент, Южно-Казахстанская область, KZ (42,327, 69,52)",42.3275,69.52,,,,Unspecified,,,,,,,,S76856087,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MTA1NzEyNQ",1143,1713,"https://macaulaylibrary.org/asset/283816391","https://ebird.org/view/checklist/S76856087","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
283816381,Photo,"Alectoris chukar",Chukar,,"Kudaibergen Amirekul",11/12/2020,2020,11,12,1030,Kazakhstan,KZ-YUZ,"Ongtüstik Qazaqstan oblysy",,"линейная 19, Шымкент, Южно-Казахстанская область, KZ (42,327, 69,52)",42.3275,69.52,,,,Unspecified,,,,,,,,S76856087,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MTA1NzEyNQ",1085,1626,"https://macaulaylibrary.org/asset/283816381","https://ebird.org/view/checklist/S76856087","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
283766341,Photo,"Alectoris chukar",Chukar,,"steve boyack",7/5/2007,2007,7,5,800,"United States",US-UT-007,Utah,Carbon,"Frontage rd",39.7077,-110.871,,,,Unspecified,,,,,,,,S76843519,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/NTAxNDI0",2268,3402,"https://macaulaylibrary.org/asset/283766341","https://ebird.org/view/checklist/S76843519","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
283766321,Photo,"Alectoris chukar",Chukar,,"steve boyack",7/5/2007,2007,7,5,800,"United States",US-UT-007,Utah,Carbon,"Frontage rd",39.7077,-110.871,,,,Unspecified,,,,,,,,S76843519,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/NTAxNDI0",2268,3402,"https://macaulaylibrary.org/asset/283766321","https://ebird.org/view/checklist/S76843519","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
283766311,Photo,"Alectoris chukar",Chukar,,"steve boyack",7/5/2007,2007,7,5,800,"United States",US-UT-007,Utah,Carbon,"Frontage rd",39.7077,-110.871,,,,Unspecified,,,,,,,,S76843519,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/NTAxNDI0",2268,3402,"https://macaulaylibrary.org/asset/283766311","https://ebird.org/view/checklist/S76843519","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
